,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-12-05Sale,2020-12-084:00 pm,WASTE MANAGEMENT INC,WM,Nagy Leslie KCAO,414,$117.39,"$48,599","3,351(IndirectDirect)",View
2,2020-12-04Sale,2020-12-084:00 pm,MSCI Inc.,MSCI,Pettit CD BaerCOO,"2,500",$424.17,"$1,060,419","268,645(Direct)",View
3,2020-12-07Sale,2020-12-084:00 pm,Sleep Number Corp,SNBR,Barra MelissaSVP Chief Sales Svcs & Strat,"4,218",$75,"$316,350","44,290(Direct)",View
4,2020-12-04Sale,2020-12-084:01 pm,IRONWOOD PHARMACEUTICALS INC,IRWD,MacDonald KellyCAO,"5,639",$12.5,"$70,488","93,041(Direct)",View
5,2020-12-07Sale,2020-12-084:02 pm,BOSTON BEER CO INC,SAM,KOCH C JAMESChairman10% Owner,"10,000",$936.32,"$9,363,171","155,421(IndirectDirect)",View
6,2020-12-04Sale,2020-12-084:02 pm,Five9 Inc.,FIVN,Trollope Rowan MCEO,"23,221",$151.58,"$3,519,805","234,058(Direct)",View
7,2020-12-07Sale,2020-12-084:02 pm,Science Applications International Corp,SAIC,KEENE NAZZIC SCEO,"5,122",$96.51,"$494,333","49,287(IndirectDirect)",View
8,2020-12-04Sale,2020-12-084:03 pm,IDEAYA Biosciences Inc.,IDYA,Throne JasonVP,"1,979",$15.37,"$30,410",0(Direct),View
9,2020-12-04Sale,2020-12-084:03 pm,Voya Financial Inc.,VOYA,SILVA KEVIN DSee Remarks,"16,831",$60.35,"$1,015,697","26,379(Direct)",View
10,2020-12-04Sale,2020-12-084:05 pm,Five9 Inc.,FIVN,ZWARENSTEIN BARRYCFO,"3,766",$151.63,"$571,049","101,305(IndirectDirect)",View
11,2020-12-07Sale,2020-12-084:06 pm,CareDx Inc.,CDNA,Maag PeterChairman,"10,000",$66.37,"$663,667","421,974(IndirectDirect)",View
12,2020-12-04Sale,2020-12-084:06 pm,Five9 Inc.,FIVN,WELCH SCOTTEVP Cloud Operations,"14,572",$151.75,"$2,211,264","39,019(IndirectDirect)",View
13,2020-12-04Sale,2020-12-084:07 pm,Rapid7 Inc.,RPD,Schodorf Thomas EDirector,500,$76,"$38,000","25,575(Direct)",View
14,2020-12-07Sale,2020-12-084:07 pm,Ceridian HCM Holding Inc.,CDAY,Turner Leagh ErinCOO,"5,000",$97.86,"$489,312","121,611(Direct)",View
15,2020-12-08Sale,2020-12-084:07 pm,Kinsale Capital Group Inc.,KNSL,SHARE GREGORY MDirector,"2,281",$240.84,"$549,358",738(IndirectDirect),View
16,2020-12-04Sale,2020-12-084:08 pm,MPLX LP,MPLX,Floerke Gregory ScottCOO,"2,500",$23,"$57,500","79,083(Direct)",View
17,2020-12-04Sale,2020-12-084:09 pm,EAGLE MATERIALS INC,EXP,ELLEN MARTIN MDirector,"2,161",$97,"$209,617","5,836(IndirectDirect)",View
18,2020-12-04Sale,2020-12-084:11 pm,ADVANCED MICRO DEVICES INC,AMD,SMITH DARLA MCAO,"2,106",$92.76,"$195,353","12,177(Direct)",View
19,2020-12-07Sale,2020-12-084:12 pm,Editas Medicine Inc.,EDIT,Albright CharlesEVP/Chief Scientific Officer,"20,000",$40.02,"$800,400","24,907(Direct)",View
20,2020-12-05Sale,2020-12-084:12 pm,CALIFORNIA WATER SERVICE GROUP,CWT,Healey David BVP,"1,000",$50,"$50,000","13,605(Direct)",View
21,2020-12-08Sale,2020-12-084:12 pm,DONEGAL GROUP INC,DGICA,BERLUCCHI SCOTT ANDREWDirector,"8,000",$14.04,"$112,320","6,265(Direct)",View
22,2020-12-04Sale,2020-12-084:12 pm,BIOCRYST PHARMACEUTICALS INC,BCRX,Barnes Alane PSenior VP Chief Legal Officer,"13,741",$6.23,"$85,606","108,061(Direct)",View
23,2020-12-04Sale,2020-12-084:13 pm,Ameresco Inc.,AMRC,Murley Thomas SDirector,"19,257",$43.48,"$837,274","10,500(Direct)",View
