,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-12-14Sale,2020-12-154:01 pm,FATE THERAPEUTICS INC,FATE,Valamehr BahramChief Development Officer,"25,000",$97.78,"$2,444,477","87,211(Direct)",View
2,2020-12-11Sale,2020-12-154:01 pm,PLUG POWER INC,PLUG,WILLIS GARY KDirector,"90,200",$26.86,"$2,422,687","410,933(Direct)",View
3,2020-12-11Sale,2020-12-154:03 pm,Apellis Pharmaceuticals Inc.,APLS,Watson David O.General Counsel,"18,333",$50.94,"$933,947","43,404(IndirectDirect)",View
4,2020-12-11Sale,2020-12-154:05 pm,PennantPark Floating Rate Capital Ltd.,PFLT,KATZ SAMUEL LDirector,"17,300",$10.85,"$187,655","69,200(IndirectDirect)",View
5,2020-12-11Sale,2020-12-154:05 pm,TFF Pharmaceuticals Inc.,TFFP,MILLS ROBERT SDirector,"22,794",$14.58,"$332,337","15,980(Direct)",View
6,2020-12-11Sale,2020-12-154:05 pm,GENCO SHIPPING & TRADING LTD,GNK,Apollo Management Holdings GP LLCApollo Management Holdings L.P.Apollo Capital Management GP LLCApollo Capital Management L.P.Apollo Principal Holdings II GP LLCApollo SVF Management GP LLCApollo SVF Management L.P.APOLLO SPECIAL OPPORTUNITIES MANAGED ACCOUNT LP10% Owner,"1,034,877",$7.1506,"$7,399,991","4,380,928(Indirect)",View
7,2020-12-11Sale,2020-12-154:08 pm,Blueprint Medicines Corp,BPMC,Goldberg Mark AlanDirector,"5,455",$115,"$627,325","3,562(Direct)",View
8,2020-12-11Sale,2020-12-154:08 pm,CERNER Corp,CERN,Battaglioli Michael R.CAO,"2,960",$74.95,"$221,852",712(IndirectDirect),View
9,2020-12-11Sale,2020-12-154:09 pm,Progyny Inc.,PGNY,TPG Group Holdings (SBS) Advisors Inc.BONDERMAN DAVIDCOULTER JAMES G10% Owner,"43,471",$38.91,"$1,691,476","14,940,118(Indirect)",View
10,2020-12-14Sale,2020-12-154:10 pm,ITT Inc.,ITT,Gustafsson Mary ElizabethSee Remarks,"18,585",$78,"$1,449,630","45,840(Direct)",View
11,2020-12-14Sale,2020-12-154:10 pm,PERKINELMER INC,PKI,Tereau Daniel RPlease See Remarks,"4,094",$146.68,"$600,508","7,427(Direct)",View
12,2020-12-11Sale,2020-12-154:10 pm,Schrodinger Inc.,SDGR,Abel Robert LorneVP,"42,628",$72.25,"$3,079,943",0(Direct),View
13,2020-12-11Sale,2020-12-154:10 pm,TYME TECHNOLOGIES Inc,TYME,Hoffman SteveChief Science Officer10% Owner,"500,000",$1.2258,"$612,924","25,150,248(Direct)",View
14,2020-12-11Sale,2020-12-154:10 pm,Interactive Brokers Group Inc.,IBKR,Peterffy ThomasChairman,"31,300",$54.69,"$1,711,911","9,569,711(Direct)",View
15,2020-12-14Sale,2020-12-154:11 pm,QUALYS Inc,QLYS,POSEY BRUCE KVP,"3,000",$100.07,"$300,221","96,108(Direct)",View
16,2020-12-11Sale,2020-12-154:17 pm,Grand Canyon Education Inc.,LOPE,Dial Sara R.Director,"2,211",$90.3,"$199,653","8,722(Direct)",View
17,2020-12-11Sale,2020-12-154:17 pm,KVH INDUSTRIES INC,KVHI,FEINGOLD FELISEVP,"12,880",$10.57,"$136,202","57,114(Direct)",View
18,2020-12-11Sale,2020-12-154:19 pm,AIR LEASE CORP,AL,Chen JieVP,"20,000",$42.26,"$845,204","253,661(IndirectDirect)",View
19,2020-12-11Sale,2020-12-154:19 pm,AIR LEASE CORP,AL,Levy Grant AVP,"10,000",$42.53,"$425,293","146,094(IndirectDirect)",View
20,2020-12-14Sale,2020-12-154:21 pm,Celanese Corp,CE,WULFF JOHN KDirector,750,$132.33,"$99,248","18,721(Direct)",View
21,2020-12-11Sale,2020-12-154:21 pm,UR-ENERGY INC,URG,BOBERG W. WILLIAMDirector,"56,470",$0.6421,"$36,259","795,983(Direct)",View
22,2020-12-11Sale,2020-12-154:22 pm,ARDELYX Inc,ARDX,GRAMMER ELIZABETH ASee Remarks,"42,000",$7.3,"$306,600","72,527(IndirectDirect)",View
23,2020-12-14Sale,2020-12-154:22 pm,EXTREME NETWORKS INC,EXTR,Thomas RemiCFO,"23,000",$6.5,"$149,500","135,552(Direct)",View
24,2020-12-11Sale,2020-12-154:24 pm,Vanda Pharmaceuticals Inc.,VNDA,Polymeropoulos Mihael HristosCEO,"125,252",$13.04,"$1,633,510","1,303,747(Direct)",View
25,2020-12-15Sale,2020-12-154:25 pm,Altabancorp,ALTA,HETS LLC10% Owner,500,$30,"$15,000","43,560(Indirect)",View
26,2020-12-11Sale,2020-12-154:26 pm,IMARA Inc.,IMRA,GRAY MICHAELCFOCOO,"1,250",$25,"$31,250",0(Direct),View
27,2020-12-11Sale,2020-12-154:28 pm,Vera Bradley Inc.,VRA,Enwright JohnCFO,"13,352",$7.17,"$95,734","91,971(Direct)",View
28,2020-12-11Sale,2020-12-154:30 pm,Datadog Inc.,DDOG,Index Ventures VI (Jersey) LPIndex Ventures Growth III (Jersey) L.P.Index Ventures VI Parallel Entrepreneur Fund (Jersey) LPYucca (Jersey) SLPIndex Venture Growth Associates III LtdIndex Venture Associates VI Ltd10% Owner,"35,033",$100.51,"$3,521,099",0(Direct),View
29,2020-12-11Sale,2020-12-154:30 pm,EAGLE MATERIALS INC,EXP,BOWMAN ED H JRDirector,"1,396",$98.98,"$138,176","15,389(Direct)",View
30,2020-12-11Sale,2020-12-154:30 pm,CLS Holdings USA Inc.,CLSH,SWANSON TODD V10% Owner,"86,602",$0.17,"$14,722","13,532,691(Indirect)",View
31,2020-12-11Sale,2020-12-154:31 pm,EAGLE MATERIALS INC,EXP,Kesler Dale CraigCFO,"11,603",$98.5,"$1,142,914","67,141(IndirectDirect)",View
32,2020-12-14Sale,2020-12-154:33 pm,SEMTECH CORP,SMTC,CHUKWU EMEKACFO,"10,000",$71.04,"$710,393","89,005(Direct)",View
33,2020-12-11Sale,2020-12-154:35 pm,Datadog Inc.,DDOG,Shah ShardulDirector,"35,033",$100.51,"$3,521,099",0(IndirectDirect),View
34,2020-12-14Sale,2020-12-154:37 pm,CRYOLIFE INC,CRY,Maier Dennis BVP,"1,843",$21.85,"$40,270","16,240(Direct)",View
35,2020-12-14Sale,2020-12-154:38 pm,KADANT INC,KAI,MCKENNEY MICHAEL JCFO,"5,516",$135.12,"$745,339","17,392(Direct)",View
36,2020-12-14Sale,2020-12-154:38 pm,CRYOLIFE INC,CRY,McCall Ronald DDirector,"4,638",$21.79,"$101,069","128,795(Direct)",View
37,2020-12-14Sale,2020-12-154:40 pm,Ameresco Inc.,AMRC,Maltezos Louis PVP,"27,000",$44.03,"$1,188,729","38,000(Direct)",View
38,2020-12-14Sale,2020-12-154:40 pm,Ameresco Inc.,AMRC,Anderson DavidVP,"5,000",$44.28,"$221,390","65,000(Direct)",View
39,2020-12-11Sale,2020-12-154:40 pm,Sailpoint Technologies Holdings Inc.,SAIL,Ream JasonCFO,"15,000",$48.35,"$725,309","102,912(Direct)",View
40,2020-12-11Sale,2020-12-154:45 pm,Cinemark Holdings Inc.,CNK,Zoradi MarkCEO,"2,000",$16.17,"$32,340","635,503(Direct)",View
41,2020-12-14Sale,2020-12-154:46 pm,ATLAS AIR WORLDWIDE HOLDINGS INC,AAWW,WULFF JOHN KDirector,"2,000",$55.59,"$111,180","17,240(Direct)",View
42,2020-12-11Sale,2020-12-154:47 pm,Denali Therapeutics Inc.,DNLI,BRATTON DOUGLAS KNeuro Line Partners LPBratton Capital Management L.P.Bratton Capital Inc.10% Owner,"64,624",$80.14,"$5,179,285","383,411(Indirect)",View
43,2020-12-14Sale,2020-12-154:51 pm,8X8 INC,EGHT,Deklich DejanChief Products Officer,"19,942",$29.53,"$588,887","116,256(Direct)",View
44,2020-12-11Sale,2020-12-154:52 pm,AdaptHealth Corp.,AHCO,Assured Investment Management LLCDirector,"16,967",$37.23,"$631,681","1,898,967(Indirect)",View
45,2020-12-14Sale,2020-12-154:52 pm,FVCBankcorp Inc.,FVCB,Testa Daniel M.Director,"4,814",$13.27,"$63,858","131,099(IndirectDirect)",View
46,2020-12-14Sale,2020-12-154:55 pm,AVALARA Inc,AVLR,INGRAM WILLIAMDirector,"11,453",$167.25,"$1,915,514","1,731(Direct)",View
47,2020-12-14Sale,2020-12-154:55 pm,Quanex Building Products CORP,NX,Zuehlke Scott M.CFO,"12,500",$22.32,"$278,959","26,205(Direct)",View
48,2020-12-14Sale,2020-12-154:58 pm,BRANDYWINE REALTY TRUST,BDN,Fowler WycheDirector,"8,598",$11.89,"$102,230","75,689(Direct)",View
49,2020-12-14Sale,2020-12-155:00 pm,VERRA MOBILITY Corp,VRRM,ROBERTS DAVID MARTINCEO,"10,000",$13.28,"$132,836","525,815(IndirectDirect)",View
50,2020-12-11Sale,2020-12-155:00 pm,Great Lakes Dredge & Dock CORP,GLDD,LaVoy Kathleen MackieSVP & Chief Legal Officer,"22,629",$11.41,"$258,196","119,687(Direct)",View
51,2020-12-14Sale,2020-12-155:00 pm,Horizon Therapeutics Public Ltd Co,HZNP,McHugh Miles WVP,"1,856",$80,"$148,480","19,741(Direct)",View
52,2020-12-10Sale,2020-12-155:00 pm,Blackstone / GSO Floating Rate Enhanced Income Fund,BGFLX,Smith Daniel Harlan Jr.CEO,"20,000",$23.6,"$472,000",0(Direct),View
53,2020-12-11Sale,2020-12-155:02 pm,MongoDB Inc.,MDB,Hazard Charles M JrDirector,"10,000",$328.65,"$3,286,475","20,895(IndirectDirect)",View
54,2020-12-11Sale,2020-12-155:02 pm,MongoDB Inc.,MDB,McMahon John DennisDirector,"20,000",$335.67,"$6,713,445","11,641(IndirectDirect)",View
55,2020-12-14Sale,2020-12-155:02 pm,Semler Scientific Inc.,SMLR,Murphy-Chutorian DouglasCEO10% Owner,"1,250",$86.34,"$107,928","59,821(Indirect)",View
56,2020-12-14Sale,2020-12-155:05 pm,Apellis Pharmaceuticals Inc.,APLS,Dunlop A. SinclairDirector,"25,000",$54.67,"$1,366,713","174,728(Indirect)",View
57,2020-12-14Sale,2020-12-155:06 pm,Ascena Retail Group Inc.,ASNAQ,MUTO GARYCEO,"38,369",$0.16029,"$6,150","6,313(Direct)",View
58,2020-12-11Sale,2020-12-155:07 pm,Chewy Inc.,CHWY,STAR JAMES ADirector,"30,000",$85.06,"$2,551,827","62,325(Direct)",View
59,2020-12-15Sale,2020-12-155:09 pm,NU SKIN ENTERPRISES Inc,NUS,NAPIERSKI RYAN SPresident,"7,000",$50.97,"$356,790","78,500(Direct)",View
60,2020-12-14Sale,2020-12-155:09 pm,Oaktree Specialty Lending Corp,OCSL,TANNENBAUM LEONARD M10% Owner,"78,700",$5.5114,"$433,746","16,172,871(IndirectDirect)",View
61,2020-12-11Sale,2020-12-155:10 pm,TANDEM DIABETES CARE INC,TNDM,BLICKENSTAFF KIM DDirector,"9,150",$93,"$850,950","760,588(Indirect)",View
62,2020-12-11Sale,2020-12-155:13 pm,VEEVA SYSTEMS INC,VEEV,Lequient FredericVP,359,$265.64,"$95,365",387(Direct),View
63,2020-12-11Sale,2020-12-155:15 pm,AMERICAN EAGLE OUTFITTERS INC,AEO,Kessler Charles FPresident,"2,866",$20.01,"$57,349","85,726(Direct)",View
64,2020-12-11Sale,2020-12-155:16 pm,Atreca Inc.,BCEL,Serafini TitoChief Strategy Officer,"10,000",$15.87,"$158,735","383,875(Indirect)",View
65,2020-12-11Sale,2020-12-155:18 pm,Grocery Outlet Holding Corp.,GO,McAndrews BrianSee Remarks,"4,000",$37.53,"$150,120","8,055(Direct)",View
66,2020-12-15Sale,2020-12-155:20 pm,EXAGEN Inc,XGN,TULLIS JAMES L LDirector10% Owner,"12,000",$12.23,"$146,726","1,555,672(IndirectDirect)",View
67,2020-12-14Sale,2020-12-155:21 pm,Silvergate Capital Corp,SI,Reed Scott A.Director,"426,488",$40,"$17,059,520","1,000,000(IndirectDirect)",View
68,2020-12-11Sale,2020-12-155:27 pm,CTO Realty Growth Inc.,CTO,Albright John PCEO,"9,635",$41.51,"$399,995","117,971(Direct)",View
69,2020-12-08Sale,2020-12-155:27 pm,Terra Tech Corp.,TRTC,Batliner Jeffrey RobertCFO,"50,000",$0.1756,"$8,780","284,220(Direct)",View
70,2020-12-11Sale,2020-12-155:29 pm,DROPBOX Inc,DBX,Regan TimothyCFO,"3,005",$23.47,"$70,524","322,054(Direct)",View
71,2020-12-14Sale,2020-12-155:29 pm,General Motors Co,GM,Johnson GeraldVP,"22,776",$42.4,"$965,702","41,277(Direct)",View
