,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-12-17Sale,2020-12-214:02 pm,PLUG POWER INC,PLUG,HELMER MAUREEN ODirector,"10,000",$30,"$300,000","113,398(Direct)",View
2,2020-12-17Sale,2020-12-214:03 pm,Upland Software Inc.,UPLD,Favaron Rodney Cco-President and CCO,"37,675",$47,"$1,770,725","156,666(Direct)",View
3,2020-12-21Sale,2020-12-214:03 pm,VAPOTHERM INC,VAPO,Ramade GregoireOfficer,"2,000",$27.65,"$55,300","13,114(Direct)",View
4,2020-12-17Sale,2020-12-214:04 pm,COVETRUS Inc,CVET,FINER DUSTINCAO,"5,260",$28.51,"$149,936","15,485(Direct)",View
5,2020-12-17Sale,2020-12-214:05 pm,PennantPark Floating Rate Capital Ltd.,PFLT,KATZ SAMUEL LDirector,"17,547",$10.48,"$183,824","26,500(IndirectDirect)",View
6,2020-12-18Sale,2020-12-214:05 pm,BridgeBio Pharma Inc.,BBIO,SCHELLER RICHARD HDirector,"30,000",$65.07,"$1,952,021","106,261(Direct)",View
7,2020-12-17Sale,2020-12-214:05 pm,PLUG POWER INC,PLUG,Schmid KeithCOO,"200,000",$30,"$6,000,000","356,220(Direct)",View
8,2020-12-17Sale,2020-12-214:05 pm,Prestige Consumer Healthcare Inc.,PBH,Fritz Mary BethVP,"2,532",$36.1,"$91,405","9,994(Direct)",View
9,2020-12-18Sale,2020-12-214:06 pm,CASTLE BIOSCIENCES INC,CSTL,MAETZOLD DEREK JCEO,"6,250",$62.6,"$391,269","1,287,252(IndirectDirect)",View
10,2020-12-18Sale,2020-12-214:08 pm,INTEGRA LIFESCIENCES HOLDINGS CORP,IART,Arduini Peter JCEO,"45,000",$61.97,"$2,788,781","216,713(Direct)",View
11,2020-12-18Sale,2020-12-214:08 pm,EVO Payments Inc.,EVOP,de Groot Steven JVP,"2,000",$28,"$56,000",0(Direct),View
12,2020-12-18Sale,2020-12-214:08 pm,SeaWorld Entertainment Inc.,SEAS,Swanson MarcSee Remarks,"7,005",$31,"$217,155","251,716(Direct)",View
13,2020-12-18Sale,2020-12-214:09 pm,CRH Medical Corp,CRHM,Bear RichardCFO,"25,000",$2.9,"$72,500","368,000(Direct)",View
14,2020-12-17Sale,2020-12-214:09 pm,INTEGRA LIFESCIENCES HOLDINGS CORP,IART,Tru St Partnership L.P.10% Owner,"200,000",$60.77,"$12,154,000","9,891,205(Direct)",View
15,2020-12-18Sale,2020-12-214:10 pm,Guidewire Software Inc.,GWRE,King James WinstonCAO,"1,447",$125.31,"$181,324","4,210(Direct)",View
16,2020-12-17Sale,2020-12-214:10 pm,Coherus BioSciences Inc.,CHRS,Anicetti Vincent RCOO,"2,500",$17.51,"$43,780","32,569(Direct)",View
17,2020-12-17Sale,2020-12-214:10 pm,Genpact LTD,G,Mehta PiyushVP,"30,000",$42,"$1,260,000","179,359(Direct)",View
18,2020-12-17Sale,2020-12-214:12 pm,NOODLES & Co,NDLS,Boennighausen David JamesCEO,799,$8.71,"$6,959","324,499(Direct)",View
19,2020-12-17Sale,2020-12-214:12 pm,Capital Bancorp Inc,CBNK,Burke Michael JosephDirector,"4,000",$12.48,"$49,923","79,452(IndirectDirect)",View
20,2020-12-18Sale,2020-12-214:13 pm,Guidewire Software Inc.,GWRE,Polelle MichaelChief Delivery Officer,"1,603",$124.55,"$199,650","3,129(Direct)",View
21,2020-12-17Sale,2020-12-214:14 pm,Under Armour Inc.,UA,Stanton John PatrickVP,"1,007",$15.22,"$15,331",0(IndirectDirect),View
22,2020-12-17Sale,2020-12-214:14 pm,Under Armour Inc.,UAA,Stanton John PatrickVP,"1,000",$17.39,"$17,393",0(IndirectDirect),View
23,2020-12-16Sale,2020-12-214:15 pm,Grocery Outlet Holding Corp.,GO,Lindberg Eric J. Jr.CEO,"25,000",$39.29,"$982,166","25,136(IndirectDirect)",View
24,2020-12-18Sale,2020-12-214:16 pm,Grocery Outlet Holding Corp.,GO,Read S. MacGregor Jr.Director,"100,000",$40,"$4,000,000","2,712(IndirectDirect)",View
25,2020-12-18Sale,2020-12-214:16 pm,Guidewire Software Inc.,GWRE,Cooper Jeffrey ElliottCFO,720,$125.31,"$90,223","2,516(Direct)",View
26,2020-12-18Sale,2020-12-214:19 pm,Ameresco Inc.,AMRC,Anderson DavidVP,"15,000",$50.03,"$750,525","35,000(Direct)",View
27,2020-12-18Sale,2020-12-214:22 pm,Guidewire Software Inc.,GWRE,Hung PriscillaCOO,"2,502",$124.39,"$311,235","5,057(Direct)",View
28,2020-12-18Sale,2020-12-214:25 pm,Guidewire Software Inc.,GWRE,Ryu MarcusDirector,"4,608",$124.48,"$573,601","17,906(Direct)",View
29,2020-12-17Sale,2020-12-214:27 pm,Quanex Building Products CORP,NX,GRIFFITHS WILLIAM CChairman,"125,269",$22.63,"$2,835,360","233,636(Direct)",View
30,2020-12-17Sale,2020-12-214:28 pm,EBAY INC,EBAY,Thompson PeteSVP Chief Product Officer,853,$53.63,"$45,746","14,801(Direct)",View
31,2020-12-17Sale,2020-12-214:29 pm,Intercontinental Exchange Inc.,ICE,Namkung James WCAO,"2,193",$113,"$247,809","16,423(Direct)",View
32,2020-12-17Sale,2020-12-214:30 pm,EVERTEC Inc.,EVTC,D'ANGELO FRANK G.Director,"20,000",$40.92,"$818,400","24,548(Direct)",View
33,2020-12-18Sale,2020-12-214:31 pm,Mimecast Ltd,MIME,Bauer PeterCEO,"45,000",$52,"$2,340,000","1,981,077(IndirectDirect)",View
34,2020-12-17Sale,2020-12-214:31 pm,Coupa Software Inc,COUP,Ford Todd RCFO,"3,718",$351.66,"$1,307,490","11,987(Direct)",View
