,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-12-22Sale,2020-12-234:00 pm,Great Lakes Dredge & Dock CORP,GLDD,Simonelli David ECOO,"4,498",$12.5,"$56,245","373,857(Direct)",View
2,2020-12-22Sale,2020-12-234:01 pm,APPLIED OPTOELECTRONICS Inc,AAOI,Murry Stefan J.CFO,"3,000",$9.0026,"$27,008","92,230(Direct)",View
3,2020-12-21Sale,2020-12-234:02 pm,AMERICAN PUBLIC EDUCATION INC,APEI,Landon Timothy JDirector,350,$34.67,"$12,134","16,896(Direct)",View
4,2020-12-21Sale,2020-12-234:04 pm,ABIOMED INC,ABMD,Greenfield Andrew JVP Chief Commercial Officer,"7,156",$295.87,"$2,117,276","31,930(IndirectDirect)",View
5,2020-12-21Sale,2020-12-234:04 pm,Stitch Fix Inc.,SFIX,Darling ScottChief Legal Officer & Secr.,"4,243",$69.75,"$295,949","69,697(Direct)",View
6,2020-12-22Sale,2020-12-234:05 pm,Schrodinger Inc.,SDGR,Lynton MichaelDirector,"8,334",$85,"$708,390",0(Direct),View
7,2020-12-22Sale,2020-12-234:05 pm,Schrodinger Inc.,SDGR,Brauner ShaneSee Remarks,"2,000",$85,"$170,000","24,867(Direct)",View
8,2020-12-22Sale,2020-12-234:05 pm,Medpace Holdings Inc.,MEDP,Medpace Investors LLC10% Owner,"33,260",$140.01,"$4,656,732","6,522,547(Direct)",View
9,2020-12-21Sale,2020-12-234:05 pm,Nuverra Environmental Solutions Inc.,NES,Gates Capital Management L.P.Gates Capital Management GP LLCGates Capital Management Inc.Gates Jeffrey L10% Owner,"335,811",$4.3114,"$1,447,818","6,721,106(Direct)",View
10,2020-12-22Sale,2020-12-234:05 pm,Medpace Holdings Inc.,MEDP,Troendle August J.CEO10% Owner,"33,260",$140.01,"$4,656,732","6,522,547(IndirectDirect)",View
11,2020-12-23Sale,2020-12-234:06 pm,GLOBE LIFE Inc,GL,DICHIARO STEVEN JOHNExec. Officer of Principal Sub,"1,500",$93.33,"$139,995","15,969(IndirectDirect)",View
12,2020-12-22Sale(M),2020-12-234:06 pm,HUMANIGEN INC,HGEN,NOMIS BAY Ltd10% Owner,"50,000",$1,"$50,000","6,357,433(Direct)",View
13,2020-12-21Sale,2020-12-234:07 pm,Stitch Fix Inc.,SFIX,Spaulding ElizabethPresident,"5,020",$69.75,"$350,145","17,494(IndirectDirect)",View
14,2020-12-22Sale,2020-12-234:07 pm,Chewy Inc.,CHWY,Bowman StacyPrincipal Accounting Officer,"10,583",$108.34,"$1,146,562","132,182(Direct)",View
15,2020-12-21Sale,2020-12-234:10 pm,Vericel Corp,VCEL,Halpin MichaelCOO,"30,000",$26.28,"$788,400","2,279(Direct)",View
16,2020-12-21Sale,2020-12-234:10 pm,Chewy Inc.,CHWY,Helfrick SusanGeneral Counsel,"22,844",$103.41,"$2,362,224","34,268(IndirectDirect)",View
17,2020-12-22Sale,2020-12-234:11 pm,Rapid7 Inc.,RPD,Schodorf Thomas EDirector,"1,750",$90,"$157,500","23,755(Direct)",View
18,2020-12-21Sale,2020-12-234:11 pm,Vericel Corp,VCEL,Hopper Jonathan MarkChief Medical Officer,"24,235",$26.54,"$643,159","23,360(Direct)",View
19,2020-12-21Sale,2020-12-234:12 pm,AMERICAN TOWER CORP,AMT,HORMATS ROBERT DDirector,100,$218.36,"$21,836","5,959(Direct)",View
20,2020-12-23Sale,2020-12-234:13 pm,3D SYSTEMS CORP,DDD,Johnson Andrew MartinEVP Chief Legal Officer & Sec,"4,000",$11.94,"$47,760","193,501(Direct)",View
21,2020-12-22Sale,2020-12-234:14 pm,CHURCHILL DOWNS Inc,CHDN,Mudd William ECOO,"6,900",$200.64,"$1,384,430","259,652(Direct)",View
22,2020-12-22Sale,2020-12-234:15 pm,INSMED Inc,INSM,Lewis WilliamCEOChairman,"50,000",$36.57,"$1,828,666","164,787(Direct)",View
23,2020-12-21Sale,2020-12-234:15 pm,Bally's Corp,BALY,ROLLINS JEFFREY WDirector,"5,000",$44.48,"$222,410","73,695(IndirectDirect)",View
24,2020-12-22Sale,2020-12-234:17 pm,QUALYS Inc,QLYS,BERGERON SANDRA E.Director,781,$125,"$97,627","25,617(Direct)",View
25,2020-12-21Sale,2020-12-234:17 pm,RealPage Inc.,RP,Glover Ashley ChaffinPresident,"1,029",$89,"$91,581","139,735(Direct)",View
26,2020-12-21Sale,2020-12-234:22 pm,PagerDuty Inc.,PD,Giamalis StaceyVP,"12,000",$45.15,"$541,777","72,189(Direct)",View
27,2020-12-22Sale,2020-12-234:23 pm,HERON THERAPEUTICS Inc,HRTX,MANHARD KIMBERLYVP,"10,000",$20,"$200,000",0(Direct),View
28,2020-12-21Sale,2020-12-234:23 pm,AtriCure Inc.,ATRC,CARREL MICHAEL HCEO,"74,751",$56,"$4,186,305","504,504(Direct)",View
29,2020-12-22Sale,2020-12-234:23 pm,GAMCO INVESTORS Inc,GBL,GABELLI MARIO JCEOChairman10% Owner,"41,845",$17.81,"$745,269","1,950,308(IndirectDirect)",View
30,2020-12-21Sale,2020-12-234:24 pm,GT Biopharma Inc.,GTBP,Weldon Steven WFormer Officer and Director,"183,700",$0.34206,"$62,837","3,720,000(Direct)",View
31,2020-12-21Sale,2020-12-234:27 pm,NAPCO SECURITY TECHNOLOGIES INC,NSSC,SOLOWAY RICHARDCEO10% Owner,"334,961",$24.7,"$8,273,537","3,664,831(Direct)",View
32,2020-12-21Sale,2020-12-234:28 pm,Clearside Biomedical Inc.,CLSD,LASEZKAY GEORGE MCEO,"3,330",$2.07,"$6,893","299,359(Direct)",View
33,2020-12-22Sale,2020-12-234:30 pm,Mimecast Ltd,MIME,Bender Alex E.T.VP,"1,400",$55,"$77,000","2,586(Direct)",View
34,2020-12-22Sale,2020-12-234:30 pm,AXON ENTERPRISE Inc,AAXN,SMITH PATRICK WCEO,"98,000",$130,"$12,740,220","368,310(Direct)",View
35,2020-12-21Sale,2020-12-234:31 pm,BLACKBERRY Ltd,BB,Wilson Mark GeorgeChief Marketing Officer,"11,042",$7.08,"$78,177","132,378(Direct)",View
36,2020-12-21Sale,2020-12-234:32 pm,Chewy Inc.,CHWY,Marte Mario JesusCFO,"45,692",$100.4,"$4,587,477","71,026(Direct)",View
37,2020-12-22Sale,2020-12-234:33 pm,Twist Bioscience Corp,TWST,Leproust Emily M.CEO,"5,000",$160.12,"$800,583","433,659(Direct)",View
38,2020-12-21Sale,2020-12-234:33 pm,Chewy Inc.,CHWY,Singh SumitCEO,"5,000",$100.4,"$502,000","17,845(IndirectDirect)",View
