,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-12-08Sale,2020-12-094:00 pm,BOSTON BEER CO INC,SAM,KOCH C JAMESChairman10% Owner,"10,000",$937.45,"$9,374,539","145,421(IndirectDirect)",View
2,2020-11-26Sale,2020-12-094:01 pm,Rise Gold Corp.,RYES,Boon VinceCFO,"9,607",$0.65,"$6,245",0(Direct),View
3,2020-12-08Sale,2020-12-094:02 pm,ARENA PHARMACEUTICALS INC,ARNA,Munshi AmitCEO,"6,517",$70,"$456,198","7,750(Direct)",View
4,2020-12-08Sale,2020-12-094:03 pm,MARRIOTT INTERNATIONAL INC,MAR,Smith Craig S.President,"7,803",$132.32,"$1,032,457","20,477(Direct)",View
5,2020-12-07Sale,2020-12-094:04 pm,Interactive Brokers Group Inc.,IBKR,Peterffy ThomasChairman,"21,600",$53.46,"$1,154,793","9,633,111(Direct)",View
6,2020-12-07Sale,2020-12-094:05 pm,Schrodinger Inc.,SDGR,Daniel JenniferSee Remarks,"23,911",$67.05,"$1,603,173","6,688(Direct)",View
7,2020-12-08Sale,2020-12-094:05 pm,Schrodinger Inc.,SDGR,D'Cruz ConySee Remarks,"6,374",$67.47,"$430,054","167,082(IndirectDirect)",View
8,2020-11-18Sale,2020-12-094:05 pm,Kandi Technologies Group Inc.,KNDI,Sun ChenmingDirector,"13,000",$11.02,"$143,260",0(Direct),View
9,2020-12-07Sale,2020-12-094:06 pm,Bandwidth Inc.,BAND,Roush Lukas M.Director,75,$160.13,"$12,010","3,041(Direct)",View
10,2020-12-07Sale,2020-12-094:08 pm,Revolve Group Inc.,RVLV,Mente MichaelCEO10% Owner,"150,000",$24.39,"$3,658,500","73,000(Direct)",View
11,2020-12-08Sale,2020-12-094:08 pm,ORRSTOWN FINANCIAL SERVICES INC,ORRF,Hornberger David ToddVP,"3,000",$16.58,"$49,740","21,690(Direct)",View
12,2020-12-07Sale,2020-12-094:09 pm,INSMED Inc,INSM,ALTOMARI ALFREDDirector,"20,000",$39.57,"$791,400","20,938(Direct)",View
13,2020-12-07Sale,2020-12-094:11 pm,M&T BANK CORP,MTB,SALAMONE DENIS JDirector,"16,394",$127.19,"$2,085,197","55,382(IndirectDirect)",View
14,2020-12-08Sale,2020-12-094:11 pm,AMERICAN SOFTWARE INC,AMSWA,KLINGES VINCENT CCFO,"31,573",$16.62,"$524,743","96,838(Direct)",View
15,2020-12-08Sale,2020-12-094:12 pm,ENTERGY CORP,ETR,HERMAN ALEXIS MDirector,178,$105.72,"$18,818","5,918(Direct)",View
16,2020-12-07Sale,2020-12-094:15 pm,Outset Medical Inc.,OM,Warburg Pincus X L.P.WP X Finance L.P.WPX GP L.P.Warburg Pincus Private Equity X L.P.Warburg Pincus X Partners L.P.Warburg Pincus X GP L.P.Director10% Owner,"3,686,225",$50.35,"$185,601,423","5,121,298(Indirect)",View
17,2020-12-07Sale,2020-12-094:15 pm,HomeTrust Bancshares Inc.,HTBI,Stonestreet Dana L.CEO,"15,000",$18.79,"$281,850","196,105(IndirectDirect)",View
18,2020-12-07Sale,2020-12-094:16 pm,PIONEER NATURAL RESOURCES CO,PXD,Hall Jerome D JRVP,"1,000",$111.25,"$111,250","44,150(Direct)",View
19,2020-12-08Sale,2020-12-094:16 pm,DONEGAL GROUP INC,DGICA,KRAFT KEVIN MICHAEL SRDirector,"8,000",$14.2,"$113,610","10,936(Direct)",View
20,2020-12-07Sale,2020-12-094:17 pm,Outset Medical Inc.,OM,WARBURG PINCUS LLCDirector10% Owner,"3,686,225",$50.35,"$185,601,423","5,121,298(Indirect)",View
21,2020-12-07Sale,2020-12-094:18 pm,MACOM Technology Solutions Holdings Inc.,MTSI,Hwang Donghyun ThomasVP,"9,168",$49.42,"$453,105","83,413(Direct)",View
22,2020-12-07Sale,2020-12-094:18 pm,TENNANT CO,TNC,Huml David W.COO,492,$69.29,"$34,091","15,789(Direct)",View
23,2020-12-07Sale,2020-12-094:18 pm,A10 Networks Inc.,ATEN,Trivedi DhrupadCEO,"10,889",$8.06,"$87,765","114,111(Direct)",View
24,2020-12-07Sale,2020-12-094:20 pm,METHODE ELECTRONICS INC,MEI,ASPATORE WALTER JDirector,"9,000",$37.42,"$336,780",0(IndirectDirect),View
25,2020-12-07Sale,2020-12-094:20 pm,METHODE ELECTRONICS INC,MEI,SKATOFF LAWRENCE BDirector,"7,000",$37.34,"$261,380","39,350(Indirect)",View
26,2020-12-07Sale,2020-12-094:21 pm,Waste Connections Inc.,WCN,Black Matthew StephenVP,"2,100",$102.24,"$214,714","28,035(Direct)",View
27,2020-12-07Sale,2020-12-094:25 pm,NETWORK 1 TECHNOLOGIES INC,NTIP,Heinemann Steven D.10% Owner,"29,171",$3.2169,"$93,840","2,026,401(IndirectDirect)",View
28,2020-12-08Sale,2020-12-094:26 pm,INDEPENDENT BANK CORP,INDB,MISKELL EILEEN CDirector,800,$73.49,"$58,792","16,761(Direct)",View
29,2020-12-07Sale,2020-12-094:26 pm,MACERICH CO,MAC,ANDERSON DANA KVice Chair Emeritus,"24,100",$11.57,"$278,813","75,116(Indirect)",View
30,2020-12-04Sale,2020-12-094:27 pm,AMERICAN VANGUARD CORP,AVD,Venter JohannSee Remarks,"2,440",$15.71,"$38,332","41,951(Direct)",View
31,2020-12-07Sale,2020-12-094:27 pm,Stitch Fix Inc.,SFIX,HANSEN MARKADirector,"12,250",$46,"$563,470",0(Direct),View
32,2020-12-08Sale,2020-12-094:27 pm,Silvergate Capital Corp,SI,DIRCKS THOMAS CDirector,"60,000",$40.66,"$2,439,626","23,183(IndirectDirect)",View
