,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-11-30Sale,2020-12-024:00 pm,WESCO INTERNATIONAL INC,WCC,Lazzaris DianeVP,547,$65.21,"$35,670","16,617(Direct)",View
2,2020-11-30Sale,2020-12-024:01 pm,SANMINA CORP,SANM,YOUNG DENNISVP,"11,197",$31.83,"$356,345","19,000(Direct)",View
3,2020-11-24Sale,2020-12-024:01 pm,RELMADA THERAPEUTICS Inc,RLMD,CASAMENTO CHARLES JDirector,"3,000",$35.74,"$107,219","24,950(Direct)",View
4,2020-12-01Sale,2020-12-024:03 pm,e.l.f. Beauty Inc.,ELF,AMIN TARANGCEO,"67,166",$21.68,"$1,456,073","464,392(IndirectDirect)",View
5,2020-12-01Sale,2020-12-024:04 pm,JOHNSON OUTDOORS INC,JOUT,PYLE THOMAS F JRDirector,"2,981",$83.58,"$249,153","47,198(Direct)",View
6,2020-11-30Sale,2020-12-024:04 pm,Montrose Environmental Group Inc.,MEG,Partners LtdBROOKFIELD ASSET MANAGEMENT IncOaktree Capital Group LLCOAKTREE HOLDINGS LLCOCM HOLDINGS I LLCOaktree Capital I L.P.OAKTREE FUND GP I L.P.Oaktree Fund GP LLCOCM Montrose II Holdings L.P.OCM Montrose Holdings L.P.10% Owner,"4,322,644",$27.81,"$120,212,727",0(Indirect),View
7,2020-06-03Sale,2020-12-024:05 pm,BridgeBio Pharma Inc.,BBIO,HENDERSON MICHAEL THOMASChief Business Officer,784,$30.04,"$23,549","261,399(Direct)",View
8,2020-11-30Sale,2020-12-024:05 pm,Montrose Environmental Group Inc.,MEG,Oaktree Holdings Ltd.OAKTREE CAPITAL MANAGEMENT LPOCM FIE LLC10% Owner,"4,322,644",$27.18,"$117,489,465",0(Indirect),View
9,2020-11-30Sale,2020-12-024:07 pm,RingCentral Inc.,RNG,Marlow John HCAO,"3,853",$295.68,"$1,139,237","159,796(Direct)",View
10,2020-11-30Sale,2020-12-024:08 pm,EXP World Holdings Inc.,EXPI,SANFORD PENNY10% Owner,"20,000",$52.81,"$1,056,146","14,825,820(Direct)",View
11,2020-12-01Sale,2020-12-024:08 pm,EXP World Holdings Inc.,EXPI,Sanford Glenn DarrelCEOChairman10% Owner,"10,000",$53.79,"$537,888","20,609,014(Direct)",View
12,2020-11-30Sale,2020-12-024:08 pm,EMCOR Group Inc.,EME,MATZ R KEVINVP,"10,000",$87.74,"$877,441","207,343(Direct)",View
13,2020-11-30Sale,2020-12-024:08 pm,RingCentral Inc.,RNG,Eswaran AnandCOO,"1,904",$295.3,"$562,247","70,942(Direct)",View
14,2020-12-02Sale,2020-12-024:09 pm,KFORCE INC,KFRC,STRUZZIERO RALPHDirector,294,$41.25,"$12,128","23,434(Direct)",View
15,2020-12-01Sale,2020-12-024:09 pm,REGENERON PHARMACEUTICALS Inc,REGN,RYAN ARTHUR FDirector,100,$520.48,"$52,048","23,643(Direct)",View
16,2020-11-30Sale,2020-12-024:10 pm,QUALYS Inc,QLYS,Hank Jeffrey PDirector,"9,465",$95.01,"$899,305","10,425(Direct)",View
17,2020-11-30Sale,2020-12-024:10 pm,SIMULATIONS PLUS INC,SLP,Ralph David L.Director,"5,000",$55.65,"$278,243","16,581(Direct)",View
18,2020-11-30Sale,2020-12-024:12 pm,MICROSTRATEGY Inc,MSTR,Lang Timothy EdwinCTO,"10,000",$312.16,"$3,121,601",0(Direct),View
19,2020-12-01Sale,2020-12-024:12 pm,BOSTON SCIENTIFIC CORP,BSX,Mirviss Jeffrey B.VP,"46,584",$33.53,"$1,562,106","131,483(Direct)",View
20,2020-12-01Sale,2020-12-024:12 pm,NEUROCRINE BIOSCIENCES INC,NBIX,ABERNETHY MATTCFO,"1,645",$94.66,"$155,721","11,494(Direct)",View
21,2020-11-30Sale,2020-12-024:13 pm,Progyny Inc.,PGNY,TPG Group Holdings (SBS) Advisors Inc.BONDERMAN DAVIDCOULTER JAMES G10% Owner,"75,000",$35.33,"$2,649,938","15,480,118(Indirect)",View
22,2020-12-01Sale,2020-12-024:14 pm,APPIAN CORP,APPN,Biddle Albert G.W. IIIDirector,"20,000",$134.8,"$2,695,982","108,814(IndirectDirect)",View
23,2020-12-01Sale,2020-12-024:15 pm,APPIAN CORP,APPN,Winters ChristopherGeneral Counsel,"25,800",$132.71,"$3,423,894","9,050(Direct)",View
24,2020-12-01Sale,2020-12-024:15 pm,Y-mAbs Therapeutics Inc.,YMAB,Gad ThomasChairman,"4,000",$51.42,"$205,685","622,000(Indirect)",View
