,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-12-10Sale,2020-12-104:00 pm,SUPERIOR ENERGY SERVICES INC,SPNX,Longoria Janiece MDirector,400,$0.0675,$27,618(Direct),View
2,2020-12-01Sale,2020-12-104:00 pm,OptimumBank Holdings Inc.,OPHC,Gubin MoisheDirector,"60,000",$3,"$180,000","216,575(IndirectDirect)",View
3,2020-12-09Sale,2020-12-104:01 pm,BOSTON BEER CO INC,SAM,KOCH C JAMESChairman10% Owner,"10,000",$936.38,"$9,363,757","135,421(IndirectDirect)",View
4,2020-12-09Sale,2020-12-104:01 pm,Sleep Number Corp,SNBR,Barra MelissaSVP Chief Sales Svcs & Strat,"4,218",$81,"$341,658","40,072(Direct)",View
5,2020-12-10Sale,2020-12-104:01 pm,BRIGHT HORIZONS FAMILY SOLUTIONS Inc,BFAM,TOCIO MARY ANNDirector,"3,000",$165.78,"$497,340","63,259(Direct)",View
6,2020-12-08Sale,2020-12-104:02 pm,APPIAN CORP,APPN,Calkins Matthew WCEO10% Owner,"250,000",$154.2,"$38,549,180",0(Indirect),View
7,2020-12-09Sale,2020-12-104:02 pm,FEDERATED HERMES Inc,FHI,Ceresino Gordon JVice Chairman,"25,000",$29.6,"$740,093","79,375(IndirectDirect)",View
8,2020-12-08Sale,2020-12-104:04 pm,SUPERIOR ENERGY SERVICES INC,SPNX,FUNK JAMES MDirector,"12,362",$0.0666,$823,"11,372(Direct)",View
9,2020-12-08Sale,2020-12-104:05 pm,Houghton Mifflin Harcourt Co,HMHC,Anchorage Capital Group L.L.C.Anchorage Advisors Management LLCUlrich Kevin MichaelAnchorage Capital Master Offshore Ltd10% Owner,"19,465,570",$3.22,"$62,679,136",0(Indirect),View
10,2020-12-09Sale,2020-12-104:06 pm,QUALYS Inc,QLYS,Thakar Sumedh SPres. & Chief Product Officer,"3,140",$92.67,"$290,974","224,524(Direct)",View
11,2020-12-08Sale,2020-12-104:06 pm,DermTech Inc.,DMTK,Dobak JohnCEO,786,$11.86,"$9,322","541,683(Direct)",View
12,2020-12-09Sale,2020-12-104:07 pm,RAYONIER INC,RYN,McHugh MarkCFO,"2,000",$30.05,"$60,100","72,739(IndirectDirect)",View
13,2020-12-08Sale,2020-12-104:08 pm,CBIZ Inc.,CBZ,GRISKO JEROME PCEO,"47,139",$25.14,"$1,185,221","117,642(IndirectDirect)",View
14,2020-12-08Sale,2020-12-104:08 pm,DermTech Inc.,DMTK,Ibarra ClaudiaCOO,"2,421",$11.86,"$28,713","115,246(Direct)",View
15,2020-12-09Sale,2020-12-104:08 pm,RAYONIER INC,RYN,Pyatt Shelby LVP,"1,086",$0,$0,"35,357(IndirectDirect)",View
16,2020-12-08Sale,2020-12-104:09 pm,PTC THERAPEUTICS Inc,PTCT,Okey StephanieDirector,687,$62.52,"$42,954",963(Direct),View
17,2020-12-10Sale,2020-12-104:10 pm,WINTRUST FINANCIAL CORP,WTFC,CRANE TIMOTHYPresident,"6,968",$59.32,"$413,342","20,826(IndirectDirect)",View
18,2020-12-08Sale,2020-12-104:10 pm,SUPERIOR ENERGY SERVICES INC,SPNX,Masters William BVP,"22,118",$0.07592,"$1,679","2,389(Direct)",View
19,2020-12-08Sale,2020-12-104:10 pm,DermTech Inc.,DMTK,Wood Todd MichaelChief Commercial Officer,428,$11.86,"$5,076","165,199(Direct)",View
20,2020-12-08Sale,2020-12-104:12 pm,AMERICAN TOWER CORP,AMT,Puech OlivierVP,28,$223.49,"$6,258","17,585(Direct)",View
21,2020-12-09Sale,2020-12-104:12 pm,INGLES MARKETS INC,IMKTA,Ingle Sharp LauraDirector,"2,500",$42.27,"$105,673","30,000(IndirectDirect)",View
22,2020-12-10Sale,2020-12-104:13 pm,U.S. SILICA HOLDINGS Inc,SLCA,Carusona ZachPresident,"3,000",$6.73,"$20,190","71,140(Direct)",View
23,2020-12-10Sale,2020-12-104:14 pm,U.S. SILICA HOLDINGS Inc,SLCA,WINKLER MICHAEL LCOO,"6,000",$6.55,"$39,300","274,755(Direct)",View
24,2020-12-08Sale,2020-12-104:15 pm,Vera Bradley Inc.,VRA,Miller Patricia R.10% Owner,"2,329",$8.51,"$19,820","2,251,847(IndirectDirect)",View
25,2020-12-08Sale,2020-12-104:15 pm,Vera Bradley Inc.,VRA,Miller P. MichaelDirector10% Owner,"2,329",$8.51,"$19,820","2,251,847(IndirectDirect)",View
26,2020-12-08Sale,2020-12-104:16 pm,SUPERIOR ENERGY SERVICES INC,SPNX,Bernard A PatrickVP,"12,195",$0.071,$866,546(Direct),View
27,2020-12-09Sale,2020-12-104:16 pm,Valaris plc,VAL,Nimocks Suzanne PDirector,825,$0.07,$58,"20,457(Direct)",View
28,2020-12-08Sale,2020-12-104:16 pm,Black Diamond Therapeutics Inc.,BDTX,Leggett ThomasCFO,"3,000",$33.78,"$101,327",0(Direct),View
29,2020-12-08Sale,2020-12-104:17 pm,COVETRUS Inc,CVET,Wolin BenjaminCEO,"5,556",$28.8,"$160,036","60,198(Direct)",View
30,2020-12-08Sale,2020-12-104:18 pm,RingCentral Inc.,RNG,Shmunis VladimirShmunis SandraELCA Fund I LPELCA Fund II LPELCA Fund III LPELCA LLCCEOChairman,"15,000",$346.43,"$5,196,514","159,242(Direct)",View
31,2020-12-08Sale,2020-12-104:18 pm,Ameresco Inc.,AMRC,Corrsin David JVP,"77,187",$44.36,"$3,424,136","244,596(Direct)",View
32,2020-12-08Sale,2020-12-104:19 pm,Ameresco Inc.,AMRC,Sakellaris George PCEO10% Owner,"1,607",$45,"$72,320","2,373,753(IndirectDirect)",View
33,2020-12-08Sale,2020-12-104:19 pm,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,Friedrich Matthew W.General Counsel,"1,077",$80.2,"$86,372","5,043(Direct)",View
34,2020-12-08Sale,2020-12-104:19 pm,Ameresco Inc.,AMRC,WISNESKI FRANCIS V JRDirector,"15,000",$42.56,"$638,418","58,676(Direct)",View
35,2020-12-08Sale,2020-12-104:19 pm,Ulta Beauty Inc.,ULTA,Caro Jodi JGC and Corporate Secretary,"4,371",$273.45,"$1,195,239","6,035(Direct)",View
36,2020-12-08Sale,2020-12-104:19 pm,Ameresco Inc.,AMRC,Sutton Joseph W.Director,"75,326",$44.51,"$3,353,095","528,355(Indirect)",View
37,2020-12-09Sale,2020-12-104:19 pm,SEMTECH CORP,SMTC,CHUKWU EMEKACFO,"3,000",$70.86,"$212,582","99,005(Direct)",View
38,2020-12-09Sale,2020-12-104:20 pm,ACCO BRANDS Corp,ACCO,Buchenroth PatrickExecVP Pres ACCO Brands Intl,"10,000",$8.4627,"$84,627","106,922(Direct)",View
39,2020-12-08Sale,2020-12-104:20 pm,ENTEGRIS INC,ENTG,Shaner William JamesVP,"3,100",$99.18,"$307,458","25,199(Direct)",View
40,2020-12-08Sale,2020-12-104:21 pm,FIVE BELOW INC,FIVE,Hill GeorgeVP,"5,000",$161.8,"$809,000","17,148(Direct)",View
41,2020-12-08Sale,2020-12-104:22 pm,RingCentral Inc.,RNG,Williams R NeilDirector,"4,776",$344.45,"$1,645,091","13,078(Direct)",View
42,2020-12-09Sale,2020-12-104:22 pm,Ulta Beauty Inc.,ULTA,Nagler LornaDirector,"5,000",$271.67,"$1,358,350","6,963(Direct)",View
43,2020-12-08Sale,2020-12-104:23 pm,MONOLITHIC POWER SYSTEMS INC,MPWR,Moyer James CDirector,"15,000",$320.7,"$4,810,467","248,308(IndirectDirect)",View
44,2020-12-09Sale,2020-12-104:25 pm,CONMED CORP,CNMD,Berge Terence MVP,"10,308",$100.75,"$1,038,515","1,004(Direct)",View
45,2020-12-08Sale,2020-12-104:25 pm,ICAD INC,ICAD,Areglado R. ScottCFO,"15,000",$12,"$180,000","36,911(Direct)",View
46,2020-12-08Sale,2020-12-104:25 pm,TRANSCAT INC,TRNS,Rudow Lee D.CEO,"2,000",$35,"$70,000","171,587(Direct)",View
47,2020-12-08Sale,2020-12-104:26 pm,1Life Healthcare Inc,ONEM,Thaler Bjorn BCFO,"20,200",$37.32,"$753,886","1,785(Direct)",View
48,2020-12-08Sale,2020-12-104:28 pm,AVALARA Inc,AVLR,Foote Marion RDirector,"35,000",$171.88,"$6,015,949","467,596(Direct)",View
49,2020-12-09Sale,2020-12-104:28 pm,CAPITAL ONE FINANCIAL CORP,COF,Wassmer Michael JPresident,"1,965",$95,"$186,675","77,189(IndirectDirect)",View
50,2020-12-04Sale,2020-12-104:29 pm,3D SYSTEMS CORP,DDD,Ellis MennoVP,"10,479",$10.44,"$109,401","104,136(Direct)",View
51,2020-12-08Sale,2020-12-104:30 pm,EXP World Holdings Inc.,EXPI,Sanford Glenn DarrelCEOChairman10% Owner,"10,000",$59.43,"$594,277","20,599,014(Direct)",View
52,2020-12-08Sale,2020-12-104:30 pm,EXP World Holdings Inc.,EXPI,SANFORD PENNY10% Owner,"20,000",$60.33,"$1,206,674","14,805,820(Direct)",View
53,2020-12-09Sale,2020-12-104:30 pm,EXP World Holdings Inc.,EXPI,Cheng JianController,"6,250",$58.95,"$368,443",0(Direct),View
54,2020-12-08Sale,2020-12-104:31 pm,Intercontinental Exchange Inc.,ICE,Wassersug MarkCOO,"2,239",$109.51,"$245,202","18,216(Direct)",View
55,2020-12-08Sale,2020-12-104:33 pm,EAGLE MATERIALS INC,EXP,BARNETT F WILLIAMDirector,"20,234",$97.69,"$1,976,660","30,876(Direct)",View
56,2020-12-08Sale,2020-12-104:34 pm,Cambium Networks Corp,CMBM,Slusky Alexander RDirector10% Owner,"2,500,000",$26.6,"$66,500,001","15,204,754(Indirect)",View
57,2020-12-08Sale,2020-12-104:36 pm,Cambium Networks Corp,CMBM,Amen Robert SDirector10% Owner,"2,500,000",$26.6,"$66,500,001","15,204,754(Indirect)",View
58,2020-12-08Sale,2020-12-104:37 pm,Teladoc Health Inc.,TDOC,Taneja HemantDirector,"4,900",$197.39,"$967,207",0(IndirectDirect),View
59,2020-12-10Sale,2020-12-104:38 pm,Cambium Networks Corp,CMBM,VECTOR CAPITAL L.L.C.Vector Cambium Holdings (Cayman) L.P.Vector Capital IV L.P.VECTOR ENTREPRENEUR FUND III L PVECTOR CAPITAL PARTNERS IV L.P.VECTOR CAPITAL PARTNERS III L.P.Vector Capital Ltd.Director10% Owner,"2,500,000",$26.6,"$66,500,001","15,204,754(Indirect)",View
60,2020-12-08Sale,2020-12-104:39 pm,Hannon Armstrong Sustainable Infrastructure Capital Inc.,HASI,Chuslo StevenVP,"40,000",$55.45,"$2,218,000","240,365(IndirectDirect)",View
61,2020-12-08Sale,2020-12-104:40 pm,MACOM Technology Solutions Holdings Inc.,MTSI,Roth Ambra R.VP,"1,300",$50,"$65,000","40,949(Direct)",View
62,2020-12-08Sale,2020-12-104:41 pm,TENNANT CO,TNC,KILLINGSTAD CHRISCEO,"3,297",$70,"$230,790","149,449(IndirectDirect)",View
63,2020-12-08Sale,2020-12-104:45 pm,TheRealReal Inc.,REAL,Wainwright JulieCEO,"135,000",$14.96,"$2,019,600","3,740,524(Direct)",View
64,2020-12-07Sale,2020-12-104:47 pm,TRUPANION Inc,TRUP,RAWLINGS DARRYLCEO,"4,000",$99.52,"$398,099","902,222(Indirect)",View
65,2020-12-09Sale,2020-12-104:49 pm,Iridium Communications Inc.,IRDM,DESCH MATTHEW JCEO,"65,133",$34.9,"$2,273,142","742,783(Direct)",View
66,2020-12-08Sale,2020-12-104:53 pm,LENNOX INTERNATIONAL INC,LII,Bedard Gary SCOO,752,$280.15,"$210,673","17,268(Direct)",View
67,2020-12-08Sale,2020-12-104:53 pm,AVALARA Inc,AVLR,McFarlane Scott MDirector,"10,000",$169.93,"$1,699,341","687,723(IndirectDirect)",View
68,2020-12-08Sale,2020-12-104:55 pm,Arcturus Therapeutics Holdings Inc.,ARCT,Ultragenyx Pharmaceutical Inc.Director10% Owner,"800,000",$100.81,"$80,650,636","2,200,000(Direct)",View
69,2020-12-08Sale,2020-12-104:55 pm,e.l.f. Beauty Inc.,ELF,Baruch Richard F JrSee Remarks,"2,900",$23.02,"$66,769","179,611(Direct)",View
70,2020-12-10Sale,2020-12-104:56 pm,BWX Technologies Inc.,BWXT,Black David SCFO,"1,000",$60.21,"$60,210","70,551(IndirectDirect)",View
71,2020-12-08Sale,2020-12-104:56 pm,LENNOX INTERNATIONAL INC,LII,Reitmeier Joseph WilliamCFO,987,$280.15,"$276,508","15,835(Direct)",View
72,2020-12-08Sale,2020-12-104:58 pm,TransUnion,TRU,Awad George MDirector,"5,000",$97.5,"$487,500","5,779(Direct)",View
73,2020-12-08Sale,2020-12-104:58 pm,Digimarc CORP,DMRC,Rodriguez TonyCTO,"2,680",$52.91,"$141,799","32,053(Direct)",View
74,2020-12-07Sale(A),2020-12-104:59 pm,LANCASTER COLONY CORP,LANC,GERLACH JOHN B JRChairman,"4,872",$168.5,"$820,932",0(Indirect),View
75,2020-12-08Sale,2020-12-105:00 pm,Vir Biotechnology Inc.,VIR,Virgin HerbertEVP Research & CSO,"3,805",$31.27,"$118,966","23,700(Direct)",View
76,2020-12-08Sale,2020-12-105:00 pm,ROCKWELL AUTOMATION INC,ROK,Chand SujeetCTO,966,$250.03,"$241,531","29,083(IndirectDirect)",View
77,2020-12-09Sale,2020-12-105:00 pm,TYLER TECHNOLOGIES INC,TYL,MARR JOHN S JRChairman,"30,747",$445.3,"$13,691,744","92,753(IndirectDirect)",View
78,2020-12-09Sale,2020-12-105:00 pm,DAILY JOURNAL CORP,DJCO,Salzman Gerald LCEO,"1,200",$280.85,"$337,016","10,086(Direct)",View
79,2020-12-08Sale,2020-12-105:03 pm,Ribbon Communications Inc.,RBBN,Marmurek Eric SCAO,"8,304",$7.1904,"$59,709","33,534(Direct)",View
80,2020-12-08Sale,2020-12-105:03 pm,LENNOX INTERNATIONAL INC,LII,Bluedorn Todd MCEOChairman,"4,705",$280.15,"$1,318,106","77,474(Direct)",View
81,2020-12-08Sale,2020-12-105:04 pm,Aerpio Pharmaceuticals Inc.,ARPO,ORBIMED ADVISORS LLCOrbiMed Capital GP V LLC10% Owner,"21,400",$1.96,"$41,944",0(Indirect),View
82,2020-12-09Sale,2020-12-105:05 pm,AMERICAN SOFTWARE INC,AMSWA,KLINGES VINCENT CCFO,"9,412",$16.4,"$154,357","96,838(Direct)",View
83,2020-12-10Sale,2020-12-105:06 pm,CYTOKINETICS INC,CYTK,Malik Fady IbrahamVP,"1,052",$20.13,"$21,177","150,441(Direct)",View
84,2020-10-02Sale,2020-12-105:06 pm,AMERICAN INTERNATIONAL HOLDINGS CORP.,AMIH,ALEXANDER ESTEBANCOO10% Owner,"7,000,000",$0.0002,"$1,400","2,000,000(Direct)",View
85,2020-12-08Sale,2020-12-105:07 pm,Square Inc.,SQ,Henry AlyssaSeller Lead,"10,000",$211.06,"$2,110,570","413,665(Direct)",View
86,2020-12-08Sale,2020-12-105:07 pm,ROCKWELL AUTOMATION INC,ROK,Fooks Elik IVP,504,$250.02,"$126,010","4,175(IndirectDirect)",View
87,2020-12-08Sale,2020-12-105:07 pm,ROCKWELL AUTOMATION INC,ROK,Etzel Steven W.CFO,178,$249.81,"$44,466","9,020(IndirectDirect)",View
88,2020-12-08Sale,2020-12-105:07 pm,ROCKWELL AUTOMATION INC,ROK,Donato ThomasVP,345,$249.66,"$86,132","1,385(Direct)",View
89,2020-12-08Sale,2020-12-105:10 pm,IMPINJ INC,PI,DOSSETT JEFFREYChief Revenue Officer,"2,500",$42.36,"$105,900","22,263(Direct)",View
90,2020-12-08Sale,2020-12-105:14 pm,ROCKWELL AUTOMATION INC,ROK,Kulaszewicz Frank CVP,"1,533",$250,"$383,251","19,917(IndirectDirect)",View
