,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-12-18Sale,2020-12-224:00 pm,Great Lakes Dredge & Dock CORP,GLDD,Simonelli David ECOO,"8,528",$12.22,"$104,204","378,355(Direct)",View
2,2020-12-21Sale,2020-12-224:00 pm,BRUKER CORP,BRKR,Friend Cynthia MDirector,"1,800",$54.32,"$97,776","7,384(Direct)",View
3,2020-12-18Sale,2020-12-224:02 pm,ALNYLAM PHARMACEUTICALS Inc,ALNY,PAUL STEVEN MDirector,"15,000",$140,"$2,100,000","1,000(Direct)",View
4,2020-12-18Sale,2020-12-224:04 pm,Acacia Communications Inc.,ACIA,Murphy Francis JVP,422,$70.66,"$29,820","22,841(Direct)",View
5,2020-12-18Sale,2020-12-224:05 pm,Schrodinger Inc.,SDGR,Akinsanya KarenSee Remarks,"13,377",$80,"$1,070,160",0(Direct),View
6,2020-12-18Sale,2020-12-224:05 pm,Schrodinger Inc.,SDGR,Herman JennyVP,"1,217",$80,"$97,360",3(Direct),View
7,2020-12-18Sale,2020-12-224:05 pm,Schrodinger Inc.,SDGR,Lynton MichaelDirector,"8,333",$80,"$666,640",0(Direct),View
8,2020-12-21Sale,2020-12-224:07 pm,CAPITAL ONE FINANCIAL CORP,COF,Alexander Robert M.CIO,"8,185",$96,"$785,760","96,183(IndirectDirect)",View
9,2020-12-18Sale,2020-12-224:08 pm,Moderna Inc.,MRNA,Bancel StephaneCEO,"15,775",$140.06,"$2,209,422","9,050,372(IndirectDirect)",View
10,2020-12-21Sale,2020-12-224:08 pm,CODEXIS Inc,CDXS,WOLF DENNIS PDirector,"10,000",$19.99,"$199,874","51,129(Direct)",View
11,2020-12-21Sale,2020-12-224:09 pm,CHURCHILL DOWNS Inc,CHDN,Mudd William ECOO,"6,000",$202.97,"$1,217,821","266,552(Direct)",View
12,2020-12-21Sale,2020-12-224:10 pm,ARDELYX Inc,ARDX,Jacobs Jeffrey WChief Scientific Officer,"3,949",$6.876,"$27,153","92,862(Direct)",View
13,2020-12-18Sale,2020-12-224:10 pm,FISERV INC,FISV,DAVIS ALISONDirector,"2,073",$114.23,"$236,792","7,988(Direct)",View
14,2020-12-21Sale,2020-12-224:10 pm,CAPITAL ONE FINANCIAL CORP,COF,LaPrade III Frank G.CEO,"32,603",$95,"$3,097,285","51,507(IndirectDirect)",View
15,2020-12-21Sale,2020-12-224:11 pm,Moderna Inc.,MRNA,Zaks Tal ZviChief Medical Officer,"17,129",$142.59,"$2,442,485",0(Direct),View
16,2020-12-21Sale,2020-12-224:11 pm,Accenture plc,ACN,Etheredge James OChief Exec-North America,"10,847",$260.84,"$2,829,379","5,282(Direct)",View
17,2020-12-21Sale,2020-12-224:11 pm,Accenture plc,ACN,Ollagnier Jean-MarcChief Executive - Europe,"1,657",$260.79,"$432,124","178,161(IndirectDirect)",View
18,2020-12-21Sale,2020-12-224:12 pm,Accenture plc,ACN,ROWLAND DAVIDChairman,"6,357",$260.82,"$1,658,027",40(Direct),View
19,2020-12-18Sale,2020-12-224:12 pm,LCI INDUSTRIES,LCII,LIPPERT JASONCEO,"10,000",$135,"$1,350,000","267,193(Direct)",View
20,2020-12-18Sale,2020-12-224:14 pm,Blueprint Medicines Corp,BPMC,Goldberg Mark AlanDirector,"5,454",$120,"$654,480","3,562(Direct)",View
21,2020-12-18Sale,2020-12-224:16 pm,Progyny Inc.,PGNY,TPG Group Holdings (SBS) Advisors Inc.BONDERMAN DAVIDCOULTER JAMES G10% Owner,"67,603",$40.08,"$2,709,616","14,725,118(Indirect)",View
22,2020-12-18Sale,2020-12-224:18 pm,IRON MOUNTAIN INC,IRM,Tomovcsik JohnCOO,"41,235",$29.63,"$1,221,793","34,093(Direct)",View
23,2020-12-18Sale,2020-12-224:18 pm,Proto Labs Inc,PRLB,Gawlick RainerDirector,"2,000",$160,"$320,008","24,259(Direct)",View
24,2020-12-18Sale,2020-12-224:18 pm,Good Times Restaurants Inc.,GTIM,KNUTSON SUSAN MController Corp Secretary,"26,237",$2.2815,"$59,861",0(Direct),View
25,2020-12-21Sale,2020-12-224:19 pm,TransMedics Group Inc.,TMDX,Sullivan John FVP,"1,000",$17.99,"$17,990","10,828(Direct)",View
26,2020-12-18Sale,2020-12-224:20 pm,Rapid7 Inc.,RPD,Schodorf Thomas EDirector,"1,750",$83,"$145,250","24,665(Direct)",View
