,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-12-14Sale,2020-12-164:01 pm,Forward Industries Inc.,FORD,Maiman MitchellPresident,"9,450",$1.7,"$16,065","115,859(Direct)",View
2,2020-12-14Sale,2020-12-164:02 pm,Teladoc Health Inc.,TDOC,WANG YULUNHead of Research & Development,"2,500",$199.24,"$498,100",0(Direct),View
3,2020-12-15Sale,2020-12-164:02 pm,Kura Oncology Inc.,KURA,FORD KATHLEENCOO,"9,375",$40.6,"$380,667",0(Direct),View
4,2020-12-14Sale,2020-12-164:02 pm,TCR2 THERAPEUTICS Inc,TCRR,Somaiya Mayur IanCFO,"2,000",$35,"$70,000","1,473(Direct)",View
5,2020-12-15Sale,2020-12-164:02 pm,Kinsale Capital Group Inc.,KNSL,RITCHIE JAMES JOSEPHDirector,"5,000",$241.37,"$1,206,873","11,464(Direct)",View
6,2020-12-14Sale,2020-12-164:03 pm,Blueprint Medicines Corp,BPMC,Dorsch MarionChief Scientific Officer,"4,600",$119,"$547,400","15,250(Direct)",View
7,2020-12-14Sale,2020-12-164:03 pm,Blueprint Medicines Corp,BPMC,Boral Anthony L.Chief Medical Officer,"10,000",$118.52,"$1,185,200","28,147(Direct)",View
8,2020-12-14Sale,2020-12-164:03 pm,TPI COMPOSITES INC,TPIC,Weiss Daniel GDirector,"6,677",$41.74,"$278,722","27,571(IndirectDirect)",View
9,2020-12-14Sale,2020-12-164:04 pm,Blueprint Medicines Corp,BPMC,Albers Jeffrey W.CEO,"5,000",$119.18,"$595,900","141,434(Direct)",View
10,2020-12-14Sale,2020-12-164:05 pm,Schrodinger Inc.,SDGR,Lynton MichaelDirector,"8,333",$75,"$624,975",0(Direct),View
11,2020-12-14Sale,2020-12-164:05 pm,Schrodinger Inc.,SDGR,Brauner ShaneSee Remarks,"2,000",$75,"$150,000","26,867(Direct)",View
12,2020-12-14Sale,2020-12-164:05 pm,Schrodinger Inc.,SDGR,Herman JennyVP,"1,000",$75,"$75,000","1,220(Direct)",View
13,2020-12-14Sale,2020-12-164:05 pm,Schrodinger Inc.,SDGR,Lebowitz JoelSee Remarks,"5,573",$72.99,"$406,773",0(Direct),View
14,2020-12-14Sale,2020-12-164:06 pm,Freshpet Inc.,FRPT,BREWSTER DARYL GDirector,"2,671",$133.39,"$356,280","50,352(Direct)",View
15,2020-12-14Sale,2020-12-164:09 pm,PTC THERAPEUTICS Inc,PTCT,Reeve EmmaDirector,"1,972",$68,"$134,096","1,650(Direct)",View
16,2020-12-14Sale,2020-12-164:09 pm,CAPITAL ONE FINANCIAL CORP,COF,Alexander Robert M.CIO,"5,534",$93.46,"$517,208","104,368(IndirectDirect)",View
17,2020-12-14Sale,2020-12-164:09 pm,CAPITAL ONE FINANCIAL CORP,COF,LaPrade III Frank G.CEO,"39,456",$91.94,"$3,627,508","51,507(IndirectDirect)",View
18,2020-12-14Sale,2020-12-164:11 pm,Priority Technology Holdings Inc.,PRTH,Kiewiet SeanCTO,"10,000",$5.7527,"$57,527","2,011,659(Direct)",View
19,2020-12-14Sale,2020-12-164:11 pm,Medpace Holdings Inc.,MEDP,GEIGER JESSE JCFOCOO,"4,200",$142,"$596,400","6,382(Direct)",View
20,2020-12-14Sale,2020-12-164:12 pm,Rapid7 Inc.,RPD,Kaes PeterVP,"20,226",$74.11,"$1,498,996","68,885(Direct)",View
21,2020-12-15Sale,2020-12-164:13 pm,KVH INDUSTRIES INC,KVHI,FEINGOLD FELISEVP,"8,785",$10.66,"$93,633","57,114(Direct)",View
22,2020-12-14Sale,2020-12-164:13 pm,SYSTEMAX INC,SYX,Shetty ManojCIO,"3,000",$37.67,"$112,998","3,559(Direct)",View
23,2020-12-14Sale,2020-12-164:15 pm,IMARA Inc.,IMRA,Ballal Rahul D.CEO,1,$25,$25,0(Direct),View
24,2020-12-14Sale,2020-12-164:15 pm,Open Lending Corp,LPRO,Jessup Ross M.Director,"524,006",$26.88,"$14,085,281","3,803,782(Direct)",View
25,2020-12-14Sale,2020-12-164:15 pm,Open Lending Corp,LPRO,Bregal Sagemount I L.P.Bregal North America General Partner Jersey LtdBregal Investments Inc.10% Owner,"5,442,047",$26.88,"$146,282,219","27,216(IndirectDirect)",View
26,2020-12-15Sale,2020-12-164:15 pm,NATIONAL RETAIL PROPERTIES Inc,NNN,Miller Michelle LynnCAO,"1,000",$39.68,"$39,677","40,475(Direct)",View
27,2020-12-14Sale,2020-12-164:15 pm,Open Lending Corp,LPRO,Flynn John JosephDirector,"460,061",$26.88,"$12,366,439","3,339,601(Direct)",View
28,2020-12-14Sale,2020-12-164:15 pm,Open Lending Corp,LPRO,Yoon GeneDirector10% Owner,"4,835,747",$26.88,"$129,984,875","27,216(Indirect)",View
29,2020-12-14Sale,2020-12-164:15 pm,Open Lending Corp,LPRO,Greenberg Blair J.Director10% Owner,"4,835,747",$26.88,"$129,984,875","27,216(Indirect)",View
30,2020-12-14Sale,2020-12-164:15 pm,Moderna Inc.,MRNA,Zaks Tal ZviChief Medical Officer,"25,034",$157.81,"$3,950,733",0(Direct),View
31,2020-12-14Sale,2020-12-164:16 pm,AMERICAN INTERNATIONAL GROUP INC,AIG,Quane Alessandrea C.EVP and Chief Risk Officer,"20,326",$38.66,"$785,904","6,978(IndirectDirect)",View
32,2020-12-14Sale,2020-12-164:16 pm,Smart Sand Inc.,SND,SPEAKER ANDREW RDirector,"50,000",$2.07,"$103,500","1,102,982(Direct)",View
33,2020-12-15Sale,2020-12-164:17 pm,FIRST SOLAR Inc,FSLR,KENNEDY R CRAIGDirector,550,$85.5,"$47,025","26,984(Direct)",View
34,2020-12-15Sale,2020-12-164:17 pm,NanoString Technologies Inc,NSTG,HERSHBERG ROBERTDirector,"1,500",$69.33,"$103,994","1,890(Direct)",View
35,2020-12-14Sale,2020-12-164:18 pm,Moderna Inc.,MRNA,Hoge StephenPresident,"20,000",$163.63,"$3,272,600","1,724,597(IndirectDirect)",View
36,2020-12-15Sale,2020-12-164:18 pm,FIRST SOLAR Inc,FSLR,DeJong PhilipCOO,"8,877",$85.5,"$758,984",0(Direct),View
37,2020-12-14Sale,2020-12-164:20 pm,Lemonade Inc.,LMND,Eisenberg Michael ADirector,"4,000",$94.44,"$377,780","18,313(IndirectDirect)",View
38,2020-12-14Sale,2020-12-164:24 pm,UNIVERSAL DISPLAY CORP,OLED,ROSENBLATT SIDNEY DCFO,"50,356",$233.15,"$11,740,384",0(IndirectDirect),View
39,2020-12-14Sale,2020-12-164:25 pm,ETSY INC,ETSY,REIFF MELISSADirector,"2,000",$175,"$350,000","1,434(Direct)",View
40,2020-12-14Sale,2020-12-164:25 pm,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,Frank MalcolmPresident,461,$79.24,"$36,529","40,592(Direct)",View
41,2020-12-14Sale,2020-12-164:26 pm,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,Friedrich Matthew W.General Counsel,458,$79.24,"$36,291","5,043(Direct)",View
42,2020-12-15Sale,2020-12-164:26 pm,Qorvo Inc.,QRVO,Klein James LVP,"1,444",$159.79,"$230,737","43,021(Direct)",View
43,2020-12-15Sale,2020-12-164:27 pm,CRYOLIFE INC,CRY,Capps Scott BVP,"8,366",$21.34,"$178,553","148,640(Direct)",View
44,2020-12-15Sale,2020-12-164:29 pm,Snap-on Inc,SNA,Pagliari Aldo JohnCFO,"12,981",$174.76,"$2,268,496","56,125(Direct)",View
45,2020-12-14Sale,2020-12-164:29 pm,IPG PHOTONICS CORP,IPGP,Ovtchinnikov AlexanderVP10% Owner,"7,321",$210.63,"$1,541,995","59,127(Direct)",View
46,2020-12-15Sale,2020-12-164:29 pm,WESBANCO INC,WSBC,NELSON F ERIC JRDirector,"7,093",$30,"$212,790","33,324(IndirectDirect)",View
47,2020-12-16Sale,2020-12-164:30 pm,AdvanSix Inc.,ASIX,Gramm ChristopherController,200,$20.3,"$4,060","39,561(Direct)",View
48,2020-12-15Sale,2020-12-164:30 pm,MARKETAXESS HOLDINGS INC,MKTX,Casper Stephen PDirector,750,$554.96,"$416,220","10,600(IndirectDirect)",View
49,2020-12-14Sale,2020-12-164:30 pm,Celldex Therapeutics Inc.,CLDX,Wright Richard M.Sr. VP & CCO,"20,832",$18.61,"$387,611",208(Direct),View
50,2020-12-14Sale,2020-12-164:30 pm,MERITOR Inc,MTOR,NEWLIN WILLIAM RDirector,"14,413",$27.47,"$395,973","193,523(IndirectDirect)",View
51,2020-12-15Sale,2020-12-164:30 pm,Helmerich & Payne Inc.,HP,Lennox MichaelVP,"1,437",$24.05,"$34,560","40,713(Direct)",View
52,2020-12-14Sale(A),2020-12-164:31 pm,Elvictor Group Inc.,ELVG,KONTOS ELEFTHERIOS10% Owner,"40,500",$0.428,"$17,334","2,502,702(Direct)",View
