,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-11-25Sale,2020-11-304:00 pm,Great Lakes Dredge & Dock CORP,GLDD,Simonelli David ECOO,100,$11.47,"$1,147","405,108(Direct)",View
2,2020-11-25Sale,2020-11-304:00 pm,MARRIOTT VACATIONS WORLDWIDE Corp,VAC,Cunningham R. LeeCOO,"1,979",$130.6,"$258,457","7,879(Direct)",View
3,2020-11-27Sale,2020-11-304:03 pm,Teladoc Health Inc.,TDOC,Geshuri ArnnonChief Human Resources Officer,"3,924",$194.89,"$764,748","100,819(Direct)",View
4,2020-11-25Sale,2020-11-304:03 pm,ALNYLAM PHARMACEUTICALS Inc,ALNY,SHARP PHILLIP ADirector,"30,000",$124.89,"$3,746,749","235,633(IndirectDirect)",View
5,2020-11-27Sale,2020-11-304:04 pm,Sleep Number Corp,SNBR,Barra MelissaSVP Chief Sales Svcs & Strat,"26,429",$68,"$1,797,172","48,508(Direct)",View
6,2020-11-25Sale,2020-11-304:05 pm,UGI CORP,UGI,Bort M ShawnDirector,"12,750",$37.89,"$483,106","14,345(IndirectDirect)",View
7,2020-11-27Sale,2020-11-304:06 pm,Trane Technologies plc,TT,AVEDON MARCIA JVP,"16,000",$145.26,"$2,324,232","109,155(Direct)",View
8,2020-11-27Sale,2020-11-304:07 pm,Trane Technologies plc,TT,LAMACH MICHAEL WCEOChairman,"232,115",$144.81,"$33,612,342","141,309(IndirectDirect)",View
9,2020-11-25Sale,2020-11-304:07 pm,Research Solutions Inc.,RSSS,12 West Capital Management LP10% Owner,"5,000",$2.305,"$11,525","5,512,476(Indirect)",View
10,2020-11-25Sale,2020-11-304:07 pm,Kandi Technologies Group Inc.,KNDI,Wang LinDirector,"1,000",$15,"$15,000","5,000(Direct)",View
11,2020-11-25Sale,2020-11-304:09 pm,AMERICAN PUBLIC EDUCATION INC,APEI,Halle Jean C.Director,"1,759",$30.95,"$54,449","14,640(Direct)",View
12,2020-11-25Sale,2020-11-304:11 pm,KVH INDUSTRIES INC,KVHI,JACKSON ELIZABETHChief Marketing Officer,"2,297",$10.37,"$23,820","34,289(Direct)",View
13,2020-11-24Sale,2020-11-304:12 pm,Hillenbrand Inc.,HI,An-Heid LingVP,"21,248",$38.96,"$827,822","57,227(Direct)",View
14,2020-11-25Sale,2020-11-304:12 pm,ExOne Co,XONE,IRVIN JOHNDirector,"20,000",$12.16,"$243,200","128,450(IndirectDirect)",View
15,2020-11-25Sale,2020-11-304:16 pm,Cambium Networks Corp,CMBM,de Graaf RaymondVP,200,$25.37,"$5,074","31,383(Direct)",View
16,2020-11-27Sale,2020-11-304:17 pm,GAMCO INVESTORS Inc,GBL,GABELLI MARIO JCEOChairman10% Owner,"27,706",$14.21,"$393,724","2,075,305(IndirectDirect)",View
17,2020-11-25Sale,2020-11-304:18 pm,Rapid7 Inc.,RPD,Luconi ChristinaChief People Officer,"16,441",$72.89,"$1,198,353","83,777(Direct)",View
18,2020-11-27Sale,2020-11-304:20 pm,Rapid7 Inc.,RPD,Schodorf Thomas EDirector,"1,625",$75,"$121,875","25,895(Direct)",View
19,2020-11-27Sale,2020-11-304:23 pm,WIDEPOINT CORP,WYY,HOLLOWAY JASONEVP and Chief Sales and Market,"24,959",$11.25,"$280,789","547,566(IndirectDirect)",View
20,2020-11-24Sale,2020-11-304:24 pm,Goosehead Insurance Inc.,GSHD,Colby 2014 Family Trust10% Owner,"22,650",$120.21,"$2,722,869","143,402(Direct)",View
21,2020-11-25Sale,2020-11-304:24 pm,Goosehead Insurance Inc.,GSHD,Colby 2014 Family Trust10% Owner,"14,037",$120.26,"$1,688,042","143,402(Direct)",View
22,2020-11-24Sale,2020-11-304:24 pm,Goosehead Insurance Inc.,GSHD,Jones Mark EvanCEO10% Owner,"6,400",$119.01,"$761,672",0(IndirectDirect),View
23,2020-11-24Sale,2020-11-304:24 pm,Goosehead Insurance Inc.,GSHD,Jones Robyn Mary ElizabethDirector10% Owner,"6,400",$119.01,"$761,672",0(IndirectDirect),View
24,2020-11-24Sale,2020-11-304:25 pm,Goosehead Insurance Inc.,GSHD,Jones Serena10% Owner,200,$123.28,"$24,656",0(Direct),View
25,2020-11-27Sale,2020-11-304:25 pm,Goosehead Insurance Inc.,GSHD,Jones Serena10% Owner,"8,017",$123.28,"$988,336",0(Direct),View
