,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-12-15Sale,2020-12-174:00 pm,EGAIN Corp,EGAN,SMIT ERICCFO,"5,000",$11.53,"$57,660","129,187(Direct)",View
2,2020-12-15Sale,2020-12-174:00 pm,Ollie's Bargain Outlet Holdings Inc.,OLLI,SWYGERT JOHN WCEO,"2,343",$78.83,"$184,699","25,156(Direct)",View
3,2020-12-15Sale,2020-12-174:05 pm,BridgeBio Pharma Inc.,BBIO,SCHELLER RICHARD HDirector,"31,443",$60.38,"$1,898,417","136,261(Direct)",View
4,2020-12-15Sale,2020-12-174:05 pm,TYME TECHNOLOGIES Inc,TYME,Hoffman SteveChief Science Officer10% Owner,"112,500",$1.135,"$127,687","25,037,748(Direct)",View
5,2020-12-15Sale,2020-12-174:05 pm,Generation Bio Co.,GBIO,Angelino Mark D.COO,"5,301",$34.98,"$185,431","345,637(IndirectDirect)",View
6,2020-12-15Sale,2020-12-174:05 pm,Lipocine Inc.,LPCN,BROWN MORGAN RCFO,"8,437",$1.35,"$11,390","194,504(Direct)",View
7,2020-12-15Sale,2020-12-174:06 pm,Lipocine Inc.,LPCN,Patel Mahesh V.CEO,"15,000",$1.35,"$20,250","1,228,090(Direct)",View
8,2020-12-16Sale,2020-12-174:06 pm,UGI CORP,UGI,SCHLANGER MARVIN ODirector,"12,750",$35.92,"$458,011","100,836(IndirectDirect)",View
9,2020-12-17Sale,2020-12-174:06 pm,Spirit Airlines Inc.,SAVE,Gardner H. McIntyreDirector,"5,000",$26.21,"$131,050","25,876(Direct)",View
10,2020-12-15Sale,2020-12-174:10 pm,Interactive Brokers Group Inc.,IBKR,Peterffy ThomasChairman,"30,200",$56.59,"$1,709,125","9,539,511(Direct)",View
11,2020-12-15Sale,2020-12-174:12 pm,MongoDB Inc.,MDB,Cochran Hope FDirector,500,$339.44,"$169,720","5,092(Direct)",View
12,2020-12-15Sale,2020-12-174:12 pm,ADVANCED MICRO DEVICES INC,AMD,Papermaster Mark DCTO,"48,277",$97.26,"$4,695,561","1,422,329(Direct)",View
