,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-11-24Sale,2020-11-274:05 pm,Schrodinger Inc.,SDGR,BILL & MELINDA GATES FOUNDATION TRUST10% Owner,"2,000,000",$63.5,"$127,000,000","6,981,664(Direct)",View
2,2020-11-25Sale,2020-11-274:05 pm,Liquidia Technologies Inc,LQDA,Eshelman Ventures LLCESHELMAN FREDRIC N10% Owner,"17,364",$3.13,"$54,349","6,570,569(IndirectDirect)",View
3,2020-11-24Sale,2020-11-274:06 pm,AUTONATION Inc,AN,GRUSKY ROBERT RDirector,"5,000",$65,"$325,000","44,721(Direct)",View
4,2020-11-24Sale,2020-11-274:07 pm,AUTONATION Inc,AN,CANNON MARC GCEO,"11,948",$65,"$776,620","15,848(Direct)",View
5,2020-11-24Sale,2020-11-274:09 pm,AUTONATION Inc,AN,EDMUNDS C COLEMANVP,"15,378",$64.46,"$991,266","20,136(Direct)",View
6,2020-11-24Sale,2020-11-274:09 pm,SITIME Corp,SITM,VASHIST RAJESHCEO,"18,209",$84.01,"$1,529,772","697,091(Direct)",View
7,2020-11-24Sale,2020-11-274:10 pm,Hillenbrand Inc.,HI,TRAINOR CHRISTOPHER HVP,"4,993",$38.02,"$189,834","35,245(Direct)",View
8,2020-11-24Sale,2020-11-274:10 pm,Hillenbrand Inc.,HI,Jones Michael M.VP,"8,000",$38.89,"$311,120","22,482(Direct)",View
9,2020-11-24Sale,2020-11-274:10 pm,Hillenbrand Inc.,HI,FARRELL NICHOLAS RSee Remarks,"1,437",$39,"$56,043","9,523(Direct)",View
10,2020-11-25Sale,2020-11-274:12 pm,OVERSTOCK.COM INC,OSTK,Nielsen David J.President,"1,300",$68.13,"$88,564","6,823(IndirectDirect)",View
11,2020-11-24Sale,2020-11-274:13 pm,GRAFTECH INTERNATIONAL LTD,EAF,BCP GP LtdBROOKFIELD ASSET MANAGEMENT IncBrookfield Capital Partners Ltd.BPE IV (Non-Cdn)BCP IV GrafTech Holdings L.P.Brookfield Business Partners L.P.Brookfield Private Equity Group Holdings LPBrookfield Private Equity Inc.Brookfield Private Equity Holdings LLCBrookfield US Inc.Director10% Owner,"1,020,842",$8.0427,"$8,210,361","160,599,328(Indirect)",View
12,2020-11-24Sale,2020-11-274:18 pm,GRAFTECH INTERNATIONAL LTD,EAF,BCP GP LtdBrookfield Private Funds Holdings Inc.Brookfield BBP Canadian GP L.P.Brookfield Business L.P.Brookfield Business Partners LtdBCP IV (US Plan) LPBCP IV (UK Plan) LPBCP IV (Cdn Plan) LPBCP IV Bermuda Investor LPDirector10% Owner,"1,020,842",$8.0427,"$8,210,361","160,599,328(Indirect)",View
13,2020-11-24Sale,2020-11-274:20 pm,SITIME Corp,SITM,CHADWICK ARTHUR DCFO,"3,128",$83.35,"$260,708","131,702(Direct)",View
14,2020-11-24Sale,2020-11-274:20 pm,GRAFTECH INTERNATIONAL LTD,EAF,BCP GP LtdBrookfield BBP (Canada) L.P.Brookfield BBP Canada Holdings Inc.Brookfield CanGP LtdDirector10% Owner,"1,020,842",$8.0427,"$8,210,361","160,599,328(Indirect)",View
15,2020-11-24Sale,2020-11-274:26 pm,GLOBUS MEDICAL INC,GMED,Davidar David DDirector,"42,000",$60,"$2,520,000","205,967(IndirectDirect)",View
16,2020-11-25Sale,2020-11-274:27 pm,BlackRock Inc.,BLK,Wiedman MarkSenior Managing Director,290,$698.71,"$202,626","9,319(Direct)",View
17,2020-11-24Sale,2020-11-274:27 pm,MASTEC INC,MTZ,Campbell C RobertDirector,"5,000",$59.34,"$296,714","65,489(Direct)",View
18,2020-11-24Sale,2020-11-274:28 pm,SITIME Corp,SITM,Sevalia Piyush BVP,"2,517",$82.85,"$208,546","124,701(Direct)",View
19,2020-11-25Sale,2020-11-274:34 pm,ASPEN AEROGELS INC,ASPN,Whitaker Corby CVP,"73,821",$14.45,"$1,066,483","113,951(Direct)",View
20,2020-11-24Sale,2020-11-274:34 pm,CATHAY GENERAL BANCORP,CATY,WONG IRWINCAO,"8,101",$31,"$251,131","42,754(IndirectDirect)",View
21,2020-11-24Sale,2020-11-274:38 pm,SITIME Corp,SITM,Bonnot LionelSee Remarks,"2,489",$83.78,"$208,516","122,422(Direct)",View
22,2020-11-24Sale,2020-11-274:38 pm,QUEST DIAGNOSTICS INC,DGX,WILENSKY GAIL RDirector,"6,111",$126.02,"$770,120","16,482(IndirectDirect)",View
23,2020-11-24Sale,2020-11-274:39 pm,KORN FERRY,KFY,SHAHEEN GEORGE TDirector,"13,650",$40.84,"$557,496","42,680(Direct)",View
24,2020-11-24Sale,2020-11-274:43 pm,Broadcom Inc.,AVGO,TAN HOCK ECEO,"78,125",$390.2,"$30,484,140","232,602(Direct)",View
25,2020-11-25Sale,2020-11-274:47 pm,CRH Medical Corp,CRHM,Bear RichardCFO,"15,000",$2.78,"$41,700","338,000(Direct)",View
26,2020-11-24Sale,2020-11-274:49 pm,U.S. CONCRETE Inc,USCR,SANDBROOK WILLIAM JDirector,"10,000",$38.15,"$381,500","397,084(IndirectDirect)",View
27,2020-11-24Sale,2020-11-275:00 pm,Ladder Capital Corp,LADR,McCormack PamelaPresident,"100,000",$9.501,"$950,100","493,985(IndirectDirect)",View
28,2020-11-24Sale,2020-11-275:00 pm,Fastly Inc.,FSLY,Luongo PaulGeneral Counsel,"7,775",$81.22,"$631,507","251,007(Direct)",View
29,2020-11-24Sale,2020-11-275:01 pm,Ladder Capital Corp,LADR,Porcella Kelly AmandaCAO,"5,000",$9.501,"$47,505","58,814(Direct)",View
30,2020-11-24Sale,2020-11-275:01 pm,Slack Technologies Inc.,WORK,Henderson CalCTO,"3,000",$30.5,"$91,485","96,155(IndirectDirect)",View
31,2020-11-24Sale,2020-11-275:01 pm,Interactive Brokers Group Inc.,IBKR,Peterffy ThomasChairman,"28,800",$52.68,"$1,517,328","9,741,111(Direct)",View
32,2020-11-24Sale,2020-11-275:04 pm,STARWOOD PROPERTY TRUST Inc,STWD,Sossen Andrew JayCOO,"12,500",$19.21,"$240,145","207,613(Direct)",View
